table_name	business_module	ordinal	column_name	mysql_type	base_type	nullable	default	auto_increment	primary_key	index	unique_index	foreign_key_target	source_description	usage_note	source_file	source_line
llx_accounting_account	会计/总账	1	rowid	bigint	bigint	NO		Y	Y	PRIMARY	PRIMARY			主键行标识；通常为自增整数	htdocs/install/mysql/tables/llx_accounting_account.sql	24
llx_accounting_account	会计/总账	2	entity	integer	integer	NO	1	N	N	uk_accounting_account	uk_accounting_account			多实体/多公司隔离标识	htdocs/install/mysql/tables/llx_accounting_account.sql	25
llx_accounting_account	会计/总账	3	datec	datetime	datetime	YES		N	N					创建日期/时间	htdocs/install/mysql/tables/llx_accounting_account.sql	26
llx_accounting_account	会计/总账	4	tms	timestamp	timestamp	YES	CURRENT_TIMESTAMP	N	N					最后修改时间戳	htdocs/install/mysql/tables/llx_accounting_account.sql	27
llx_accounting_account	会计/总账	5	fk_pcg_version	varchar(32)	varchar	NO		N	N	idx_accounting_account_fk_pcg_version, uk_accounting_account	uk_accounting_account	llx_accounting_system.pcg_version	Chart system	外部关联 ID（具体目标以外键或业务代码为准）；源码注释：Chart system	htdocs/install/mysql/tables/llx_accounting_account.sql	28
llx_accounting_account	会计/总账	6	pcg_type	varchar(60)	varchar	NO		N	N				First part of Key for predefined groups	字段 pcg_type；源码注释：First part of Key for predefined groups	htdocs/install/mysql/tables/llx_accounting_account.sql	29
llx_accounting_account	会计/总账	7	account_number	varchar(32)	varchar	NO		N	N	uk_accounting_account	uk_accounting_account			字段 account_number（基于字段名推断）	htdocs/install/mysql/tables/llx_accounting_account.sql	30
llx_accounting_account	会计/总账	8	account_parent	integer	integer	YES	0	N	N	idx_accounting_account_account_parent			Hierarchic parent.	字段 account_parent；源码注释：Hierarchic parent.	htdocs/install/mysql/tables/llx_accounting_account.sql	31
llx_accounting_account	会计/总账	9	label	varchar(255)	varchar	NO		N	N					名称或标签	htdocs/install/mysql/tables/llx_accounting_account.sql	32
llx_accounting_account	会计/总账	10	labelshort	varchar(255)	varchar	YES	NULL	N	N					名称/标题字段（基于字段名推断）	htdocs/install/mysql/tables/llx_accounting_account.sql	33
llx_accounting_account	会计/总账	11	fk_accounting_category	integer	integer	YES	0	N	N				ID of personalized group for report	外部关联 ID（具体目标以外键或业务代码为准）；源码注释：ID of personalized group for report	htdocs/install/mysql/tables/llx_accounting_account.sql	34
