source_table	source_column	constraint_name	target_table	target_column	relation_status	source_file	notes
llx_accounting_account	fk_pcg_version	fk_accounting_account_fk_pcg_version	llx_accounting_system	pcg_version	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_accounting_system.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_accounting_analytic_distribution	fk_analytic_account	fk_accounting_analytic_distribution_fk_analytic_account	llx_accounting_analytic_account	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_accounting_analytic_distribution-accounting.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_accounting_transaction_template_det	fk_transaction_template	fk_accounting_transaction_template_det_template	llx_accounting_transaction_template	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_accounting_transaction_template_det-accounting.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_adherent	fk_soc	adherent_fk_soc	llx_societe	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_adherent.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_adherent	fk_adherent_type	fk_adherent_adherent_type	llx_adherent_type	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_adherent.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_asset_accountancy_codes_economic	fk_asset	fk_asset_ace_asset	llx_asset	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_asset_accountancy_codes_economic-asset.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_asset_accountancy_codes_economic	fk_asset_model	fk_asset_ace_asset_model	llx_asset_model	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_asset_accountancy_codes_economic-asset.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_asset_accountancy_codes_economic	fk_user_modif	fk_asset_ace_user_modif	llx_user	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_asset_accountancy_codes_economic-asset.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_asset_accountancy_codes_fiscal	fk_asset	fk_asset_acf_asset	llx_asset	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_asset_accountancy_codes_fiscal-asset.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_asset_accountancy_codes_fiscal	fk_asset_model	fk_asset_acf_asset_model	llx_asset_model	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_asset_accountancy_codes_fiscal-asset.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_asset_accountancy_codes_fiscal	fk_user_modif	fk_asset_acf_user_modif	llx_user	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_asset_accountancy_codes_fiscal-asset.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_asset_depreciation_options_economic	fk_asset	fk_asset_doe_asset	llx_asset	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_asset_depreciation_options_economic-asset.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_asset_depreciation_options_economic	fk_asset_model	fk_asset_doe_asset_model	llx_asset_model	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_asset_depreciation_options_economic-asset.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_asset_depreciation_options_economic	fk_user_modif	fk_asset_doe_user_modif	llx_user	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_asset_depreciation_options_economic-asset.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_asset_depreciation_options_fiscal	fk_asset	fk_asset_dof_asset	llx_asset	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_asset_depreciation_options_fiscal-asset.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_asset_depreciation_options_fiscal	fk_asset_model	fk_asset_dof_asset_model	llx_asset_model	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_asset_depreciation_options_fiscal-asset.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_asset_depreciation_options_fiscal	fk_user_modif	fk_asset_dof_user_modif	llx_user	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_asset_depreciation_options_fiscal-asset.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_asset_depreciation	fk_asset	fk_asset_depreciation_asset	llx_asset	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_asset_depreciation-asset.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_asset_depreciation	fk_user_modif	fk_asset_depreciation_user_modif	llx_user	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_asset_depreciation-asset.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_asset	fk_asset_model	fk_asset_asset_model	llx_asset_model	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_asset-asset.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_asset	fk_disposal_type	fk_asset_disposal_type	llx_c_asset_disposal_type	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_asset-asset.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
