table_name	index_name	index_type	unique	columns	source_file	status	notes
llx_accounting_account	idx_accounting_account_account_parent	INDEX	N	account_parent	htdocs/install/mysql/tables/llx_accounting_account.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_accounting_account	idx_accounting_account_fk_pcg_version	INDEX	N	fk_pcg_version	htdocs/install/mysql/tables/llx_accounting_account.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_accounting_account	PRIMARY	PRIMARY KEY	Y	rowid	htdocs/install/mysql/tables/llx_accounting_account.sql	启用	主键在建表文件中定义
llx_accounting_account	uk_accounting_account	INDEX	Y	account_number, entity, fk_pcg_version	htdocs/install/mysql/tables/llx_accounting_account.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_accounting_analytic_account	PRIMARY	PRIMARY KEY	Y	rowid	htdocs/install/mysql/tables/llx_accounting_analytic_account-accounting.sql	启用	主键在建表文件中定义
llx_accounting_analytic_account	uk_accounting_analytic_account	INDEX	Y	code, entity	htdocs/install/mysql/tables/llx_accounting_analytic_account-accounting.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_accounting_analytic_axis	PRIMARY	PRIMARY KEY	Y	rowid	htdocs/install/mysql/tables/llx_accounting_analytic_axis-accounting.sql	启用	主键在建表文件中定义
llx_accounting_analytic_axis	uk_accounting_analytic_axis	INDEX	Y	code, entity	htdocs/install/mysql/tables/llx_accounting_analytic_axis-accounting.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_accounting_analytic_distribution	PRIMARY	PRIMARY KEY	Y	rowid	htdocs/install/mysql/tables/llx_accounting_analytic_distribution-accounting.sql	启用	主键在建表文件中定义
llx_accounting_balance_snapshot	idx_accounting_balance_snapshot_account	INDEX	N	entity, fk_fiscalyear, account_number, debit, credit	htdocs/install/mysql/tables/llx_accounting_balance_snapshot-accounting.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_accounting_balance_snapshot	idx_accounting_balance_snapshot_subaccount	INDEX	N	entity, fk_fiscalyear, subledger_account, debit, credit	htdocs/install/mysql/tables/llx_accounting_balance_snapshot-accounting.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_accounting_balance_snapshot	PRIMARY	PRIMARY KEY	Y	rowid	htdocs/install/mysql/tables/llx_accounting_balance_snapshot-accounting.sql	启用	主键在建表文件中定义
llx_accounting_balance_snapshot	uk_accounting_balance_snapshot	INDEX	Y	entity, fk_fiscalyear, account_number, subledger_account	htdocs/install/mysql/tables/llx_accounting_balance_snapshot-accounting.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_accounting_bookkeeping_piece	idx_accounting_bookkeeping_piece_fk_user_author	INDEX	N	fk_user_author	htdocs/install/mysql/tables/llx_accounting_bookkeeping_piece-accounting.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_accounting_bookkeeping_piece	idx_accounting_bookkeeping_piece_fk_user_closing	INDEX	N	fk_user_closing	htdocs/install/mysql/tables/llx_accounting_bookkeeping_piece-accounting.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_accounting_bookkeeping_piece	idx_accounting_bookkeeping_piece_fk_user_modif	INDEX	N	fk_user_modif	htdocs/install/mysql/tables/llx_accounting_bookkeeping_piece-accounting.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_accounting_bookkeeping_piece	idx_accounting_bookkeeping_piece_fk_user_valid	INDEX	N	fk_user_valid	htdocs/install/mysql/tables/llx_accounting_bookkeeping_piece-accounting.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_accounting_bookkeeping_piece	PRIMARY	PRIMARY KEY	Y	rowid	htdocs/install/mysql/tables/llx_accounting_bookkeeping_piece-accounting.sql	启用	主键在建表文件中定义
llx_accounting_bookkeeping_piece	uk_accounting_bookkeeping_piece_ref	INDEX	Y	ref, entity	htdocs/install/mysql/tables/llx_accounting_bookkeeping_piece-accounting.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_accounting_bookkeeping_tmp	idx_accounting_bookkeeping_tmp_code_journal	INDEX	N	code_journal	htdocs/install/mysql/tables/llx_accounting_bookkeeping_tmp-accounting.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_accounting_bookkeeping_tmp	idx_accounting_bookkeeping_tmp_doc_date	INDEX	N	doc_date	htdocs/install/mysql/tables/llx_accounting_bookkeeping_tmp-accounting.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_accounting_bookkeeping_tmp	idx_accounting_bookkeeping_tmp_fk_docdet	INDEX	N	fk_docdet	htdocs/install/mysql/tables/llx_accounting_bookkeeping_tmp-accounting.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_accounting_bookkeeping_tmp	idx_accounting_bookkeeping_tmp_numero_compte	INDEX	N	numero_compte	htdocs/install/mysql/tables/llx_accounting_bookkeeping_tmp-accounting.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_accounting_bookkeeping_tmp	idx_accounting_bookkeeping_tmp_ref	INDEX	N	ref	htdocs/install/mysql/tables/llx_accounting_bookkeeping_tmp-accounting.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_accounting_bookkeeping_tmp	PRIMARY	PRIMARY KEY	Y	rowid	htdocs/install/mysql/tables/llx_accounting_bookkeeping_tmp-accounting.sql	启用	主键在建表文件中定义
llx_accounting_bookkeeping	idx_accounting_bookkeeping_code_journal	INDEX	N	code_journal, entity	htdocs/install/mysql/tables/llx_accounting_bookkeeping-accounting.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_accounting_bookkeeping	idx_accounting_bookkeeping_doc_date	INDEX	N	doc_date	htdocs/install/mysql/tables/llx_accounting_bookkeeping-accounting.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_accounting_bookkeeping	idx_accounting_bookkeeping_fk_doc	INDEX	N	fk_doc	htdocs/install/mysql/tables/llx_accounting_bookkeeping-accounting.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_accounting_bookkeeping	idx_accounting_bookkeeping_fk_docdet	INDEX	N	fk_docdet	htdocs/install/mysql/tables/llx_accounting_bookkeeping-accounting.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_accounting_bookkeeping	idx_accounting_bookkeeping_numero_compte	INDEX	N	numero_compte, entity	htdocs/install/mysql/tables/llx_accounting_bookkeeping-accounting.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_accounting_bookkeeping	idx_accounting_bookkeeping_piece_num	INDEX	N	piece_num, entity	htdocs/install/mysql/tables/llx_accounting_bookkeeping-accounting.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_accounting_bookkeeping	idx_accounting_bookkeeping_ref	INDEX	N	ref	htdocs/install/mysql/tables/llx_accounting_bookkeeping-accounting.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_accounting_bookkeeping	PRIMARY	PRIMARY KEY	Y	rowid	htdocs/install/mysql/tables/llx_accounting_bookkeeping-accounting.sql	启用	主键在建表文件中定义
llx_accounting_category_account	idx_accounting_category_account_fk_accounting_account	INDEX	N	fk_accounting_account	htdocs/install/mysql/tables/llx_accounting_category_account-accounting.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_accounting_category_account	idx_accounting_category_account_fk_accounting_category	INDEX	N	fk_accounting_category	htdocs/install/mysql/tables/llx_accounting_category_account-accounting.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_accounting_category_account	PRIMARY	PRIMARY KEY	Y	rowid	htdocs/install/mysql/tables/llx_accounting_category_account-accounting.sql	启用	主键在建表文件中定义
llx_accounting_category_account	uk_accounting_category_account	INDEX	Y	fk_accounting_category, fk_accounting_account	htdocs/install/mysql/tables/llx_accounting_category_account-accounting.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_accounting_fiscalyear	PRIMARY	PRIMARY KEY	Y	rowid	htdocs/install/mysql/tables/llx_accounting_fiscalyear.sql	启用	主键在建表文件中定义
llx_accounting_groups_account	PRIMARY	PRIMARY KEY	Y	rowid	htdocs/install/mysql/tables/llx_accounting_groups_account.sql	启用	主键在建表文件中定义
llx_accounting_journal	PRIMARY	PRIMARY KEY	Y	rowid	htdocs/install/mysql/tables/llx_accounting_journal.sql	启用	主键在建表文件中定义
llx_accounting_journal	uk_accounting_journal_code	INDEX	Y	code, entity	htdocs/install/mysql/tables/llx_accounting_journal.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_accounting_system	PRIMARY	PRIMARY KEY	Y	rowid	htdocs/install/mysql/tables/llx_accounting_system.sql	启用	主键在建表文件中定义
llx_accounting_system	uk_accounting_system_pcg_version	INDEX	Y	pcg_version	htdocs/install/mysql/tables/llx_accounting_system.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_accounting_transaction_template_det	idx_accounting_transaction_template_det_rowid	INDEX	N	rowid	htdocs/install/mysql/tables/llx_accounting_transaction_template_det-accounting.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_accounting_transaction_template_det	PRIMARY	PRIMARY KEY	Y	rowid	htdocs/install/mysql/tables/llx_accounting_transaction_template_det-accounting.sql	启用	主键在建表文件中定义
llx_accounting_transaction_template	idx_accounting_transaction_template_code	INDEX	N	code	htdocs/install/mysql/tables/llx_accounting_transaction_template-accounting.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_accounting_transaction_template	idx_accounting_transaction_template_rowid	INDEX	N	rowid	htdocs/install/mysql/tables/llx_accounting_transaction_template-accounting.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_accounting_transaction_template	PRIMARY	PRIMARY KEY	Y	rowid	htdocs/install/mysql/tables/llx_accounting_transaction_template-accounting.sql	启用	主键在建表文件中定义
llx_accounting_transaction_template	uk_accounting_transaction_template_code	INDEX	Y	code, entity	htdocs/install/mysql/tables/llx_accounting_transaction_template-accounting.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_actioncomm_extrafields	PRIMARY	PRIMARY KEY	Y	rowid	htdocs/install/mysql/tables/llx_actioncomm_extrafields.sql	启用	主键在建表文件中定义
llx_actioncomm_extrafields	uk_actioncomm_extrafields	INDEX	Y	fk_object	htdocs/install/mysql/tables/llx_actioncomm_extrafields.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_actioncomm_reminder	idx_actioncomm_reminder_dateremind	INDEX	N	dateremind	htdocs/install/mysql/tables/llx_actioncomm_reminder.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_actioncomm_reminder	idx_actioncomm_reminder_fk_contact	INDEX	N	fk_contact	htdocs/install/mysql/tables/llx_actioncomm_reminder.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_actioncomm_reminder	idx_actioncomm_reminder_fk_soc	INDEX	N	fk_soc	htdocs/install/mysql/tables/llx_actioncomm_reminder.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_actioncomm_reminder	idx_actioncomm_reminder_fk_user	INDEX	N	fk_user	htdocs/install/mysql/tables/llx_actioncomm_reminder.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_actioncomm_reminder	idx_actioncomm_reminder_status	INDEX	N	status	htdocs/install/mysql/tables/llx_actioncomm_reminder.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_actioncomm_reminder	PRIMARY	PRIMARY KEY	Y	rowid	htdocs/install/mysql/tables/llx_actioncomm_reminder.sql	启用	主键在建表文件中定义
