module_key	business_module	table_count	field_count	index_count	fk_count	entity_table_count	table_role_distribution
deplacement	差旅费用	1	17	1	0	1	业务实体表:1
variants	产品变体	7	37	18	0	3	业务实体表:5；扩展字段值表:2
productbatch	产品批次	1	5	2	0	1	参考数据/配置表:1
product	产品与服务	20	249	54	12	6	业务实体表:12；扩展字段值表:6；日志/历史表:2
societe	第三方/企业	11	257	44	15	8	业务实体表:9；多对多/关联表:1；扩展字段值表:1
ecm	电子文档管理	4	53	12	2	2	业务实体表:2；扩展字段值表:2
dynamicprices	动态价格	3	15	3	0	0	参考数据/配置表:3
multicurrency	多币种	2	14	2	0	2	业务实体表:2
expedition	发货	6	80	18	6	1	业务实体表:2；扩展字段值表:2；明细/行表:2
expensereport	费用报告	8	124	18	0	4	参考数据/配置表:2；业务实体表:3；明细/行表:1；扩展字段值表:2
categories	分类	16	67	33	24	1	多对多/关联表:14；扩展字段值表:2
fichinter	干预/工单	7	108	17	6	2	多对多/关联表:1；业务实体表:2；扩展字段值表:2；明细/行表:2
ticket	工单	7	83	19	3	5	参考数据/配置表:4；多对多/关联表:1；业务实体表:1；扩展字段值表:1
salaries	工资	2	29	12	7	1	业务实体表:1；扩展字段值表:1
workstation	工作站	4	28	8	1	1	业务实体表:2；扩展字段值表:1；权限/关联表:1
supplier_order	供应商订单	5	104	12	2	1	业务实体表:1；扩展字段值表:2；日志/历史表:1；明细/行表:1
supplier_invoice	供应商发票	8	200	28	10	2	业务实体表:2；明细/行表:2；扩展字段值表:4
supplier_proposal	供应商提案	5	96	16	4	1	多对多/关联表:1；业务实体表:1；扩展字段值表:2；明细/行表:1
contrat	合同	4	89	15	5	1	业务实体表:1；扩展字段值表:2；明细/行表:1
partnership	合作伙伴	3	34	9	0	2	参考数据/配置表:1；业务实体表:1；扩展字段值表:1
core	核心/系统	106	1139	240	19	52	业务实体表:43；参考数据/配置表:51；多对多/关联表:2；日志/历史表:1；扩展字段值表:6；明细/行表:2；权限/关联表:1
accounting	会计/总账	17	216	53	3	13	业务实体表:13；多对多/关联表:1；明细/行表:1；参考数据/配置表:2
adherent	会员	5	75	12	2	2	业务实体表:3；扩展字段值表:2
eventorganization	活动组织	2	28	12	0	0	业务实体表:1；扩展字段值表:1
delivery	交付	4	42	11	4	1	业务实体表:1；扩展字段值表:2；明细/行表:1
loan	借款	2	40	3	0	1	业务实体表:2
don	捐赠	2	38	8	0	1	业务实体表:1；扩展字段值表:1
commande	客户订单	5	114	19	10	1	多对多/关联表:1；业务实体表:1；扩展字段值表:2；明细/行表:1
facture	客户发票	9	236	37	14	2	多对多/关联表:1；业务实体表:2；扩展字段值表:4；明细/行表:2
stock	库存	9	94	25	4	2	多对多/关联表:1；业务实体表:4；扩展字段值表:3；明细/行表:1
stocktransfer	库存调拨	4	45	12	1	1	业务实体表:1；扩展字段值表:2；明细/行表:1
contact	联系人	2	48	6	2	1	业务实体表:1；扩展字段值表:1
mailing	群发邮件	4	66	7	0	3	业务实体表:4
hrm	人力资源	11	97	29	8	1	业务实体表:5；扩展字段值表:4；明细/行表:2
actioncomm	日程活动	4	75	26	0	2	业务实体表:2；扩展字段值表:1；多对多/关联表:1
propal	商业提案	6	119	21	10	1	多对多/关联表:1；业务实体表:2；扩展字段值表:2；明细/行表:1
mrp	生产计划/MRP	5	59	18	6	1	多对多/关联表:1；业务实体表:2；扩展字段值表:2
element	通用关系	4	46	13	1	0	多对多/关联表:2；通用元数据/关系表:2
website	网站	5	67	10	3	2	参考数据/配置表:1；多对多/关联表:1；业务实体表:2；扩展字段值表:1
bom	物料清单	4	45	13	2	1	业务实体表:1；扩展字段值表:2；明细/行表:1
project	项目	2	9	6	4	1	多对多/关联表:1；业务实体表:1
projet	项目	4	79	15	4	2	业务实体表:2；扩展字段值表:2
holiday	休假	5	50	14	0	2	业务实体表:2；参考数据/配置表:1；扩展字段值表:1；日志/历史表:1
bank	银行与现金	9	133	20	4	2	业务实体表:6；扩展字段值表:2；多对多/关联表:1
user	用户与权限	12	163	25	5	8	业务实体表:6；扩展字段值表:2；权限/关联表:4
emailcollector	邮件采集	3	51	10	2	1	业务实体表:3
budget	预算	2	21	3	1	1	业务实体表:1；明细/行表:1
bookcal	预约日历	4	44	14	3	1	业务实体表:2；扩展字段值表:2
opensurvey	在线调查	5	36	10	0	1	业务实体表:5
recruitment	招聘	5	62	16	5	2	参考数据/配置表:1；业务实体表:2；扩展字段值表:2
payment	支付	7	97	13	1	2	业务实体表:6；扩展字段值表:1
knowledgemanagement	知识管理	3	25	8	3	1	多对多/关联表:1；业务实体表:1；扩展字段值表:1
asset	资产	10	117	28	18	3	业务实体表:7；扩展字段值表:2；参考数据/配置表:1
resource	资源	2	31	7	1	1	业务实体表:1；扩展字段值表:1
ai	AI	1	17	8	0	1	日志/历史表:1
takepos	POS	3	40	5	0	2	业务实体表:2；扩展字段值表:1
webhook	Webhook	2	30	7	0	1	日志/历史表:1；业务实体表:1
zapier	Zapier	1	11	1	0	1	业务实体表:1
