table_name	module_key	business_module	table_role	source_description	primary_key	field_count	index_count	explicit_fk_count	has_entity	create_file	notes
llx_accounting_account	accounting	会计/总账	业务实体表	Table of 'accounts' for accountancy module	rowid	18	4	1	Y	htdocs/install/mysql/tables/llx_accounting_account.sql	
llx_accounting_analytic_account	accounting	会计/总账	业务实体表	Table of 'analytic account' for accountancy module	rowid	14	2	0	Y	htdocs/install/mysql/tables/llx_accounting_analytic_account-accounting.sql	
llx_accounting_analytic_axis	accounting	会计/总账	业务实体表	Table of 'analytic axis' for accountancy module	rowid	10	2	0	Y	htdocs/install/mysql/tables/llx_accounting_analytic_axis-accounting.sql	
llx_accounting_analytic_distribution	accounting	会计/总账	业务实体表	Table of 'analytic distribution' for accountancy module	rowid	12	1	1	Y	htdocs/install/mysql/tables/llx_accounting_analytic_distribution-accounting.sql	
llx_accounting_balance_snapshot	accounting	会计/总账	业务实体表		rowid	11	4	0	Y	htdocs/install/mysql/tables/llx_accounting_balance_snapshot-accounting.sql	
llx_accounting_bookkeeping	accounting	会计/总账	业务实体表		rowid	36	8	0	Y	htdocs/install/mysql/tables/llx_accounting_bookkeeping-accounting.sql	
llx_accounting_bookkeeping_piece	accounting	会计/总账	业务实体表		rowid	15	6	0	Y	htdocs/install/mysql/tables/llx_accounting_bookkeeping_piece-accounting.sql	
llx_accounting_bookkeeping_tmp	accounting	会计/总账	业务实体表		rowid	35	6	0	Y	htdocs/install/mysql/tables/llx_accounting_bookkeeping_tmp-accounting.sql	
llx_accounting_category_account	accounting	会计/总账	多对多/关联表	Table for connect accounting category with accounting account	rowid	3	4	0	N	htdocs/install/mysql/tables/llx_accounting_category_account-accounting.sql	
llx_accounting_fiscalyear	accounting	会计/总账	业务实体表		rowid	10	1	0	Y	htdocs/install/mysql/tables/llx_accounting_fiscalyear.sql	
llx_accounting_groups_account	accounting	会计/总账	业务实体表	Table of 'accounts' for accountancy expert module	rowid	3	1	0	N	htdocs/install/mysql/tables/llx_accounting_groups_account.sql	
llx_accounting_journal	accounting	会计/总账	业务实体表	Table of journals for accountancy	rowid	6	2	0	Y	htdocs/install/mysql/tables/llx_accounting_journal.sql	
llx_accounting_system	accounting	会计/总账	业务实体表	Table of chart of accounts	rowid	7	2	0	N	htdocs/install/mysql/tables/llx_accounting_system.sql	
llx_accounting_transaction_template	accounting	会计/总账	业务实体表	Table of transaction template for accounting	rowid	9	4	0	Y	htdocs/install/mysql/tables/llx_accounting_transaction_template-accounting.sql	
llx_accounting_transaction_template_det	accounting	会计/总账	明细/行表	Table of line of transaction template for accounting	rowid	9	2	1	N	htdocs/install/mysql/tables/llx_accounting_transaction_template_det-accounting.sql	
llx_actioncomm	actioncomm	日程活动	业务实体表	Table of events and actions (past and to do).	id	50	14	0	Y	htdocs/install/mysql/tables/llx_actioncomm.sql	
llx_actioncomm_extrafields	actioncomm	日程活动	扩展字段值表		rowid	4	2	0	N	htdocs/install/mysql/tables/llx_actioncomm_extrafields.sql	
llx_actioncomm_reminder	actioncomm	日程活动	业务实体表		rowid	14	7	0	Y	htdocs/install/mysql/tables/llx_actioncomm_reminder.sql	
llx_actioncomm_resources	actioncomm	日程活动	多对多/关联表	Table used for relations between an action event and a resource (in most cases	rowid	7	3	0	N	htdocs/install/mysql/tables/llx_actioncomm_resources.sql	
llx_adherent	adherent	会员	业务实体表		rowid	45	5	2	Y	htdocs/install/mysql/tables/llx_adherent.sql	
llx_adherent_extrafields	adherent	会员	扩展字段值表		rowid	4	2	0	N	htdocs/install/mysql/tables/llx_adherent_extrafields.sql	
llx_adherent_type	adherent	会员	业务实体表		rowid	15	2	0	Y	htdocs/install/mysql/tables/llx_adherent_type.sql	
llx_adherent_type_extrafields	adherent	会员	扩展字段值表		rowid	4	2	0	N	htdocs/install/mysql/tables/llx_adherent_type_extrafields.sql	
llx_adherent_type_lang	adherent	会员	业务实体表		rowid	7	1	0	N	htdocs/install/mysql/tables/llx_adherent_type_lang.sql	
llx_ai_request_log	ai	AI	日志/历史表		rowid	17	8	0	Y	htdocs/install/mysql/tables/llx_ai_request_log-ai.sql	
llx_asset	asset	资产	业务实体表	Table for fixed asset	rowid	32	3	4	Y	htdocs/install/mysql/tables/llx_asset-asset.sql	
llx_asset_accountancy_codes_economic	asset	资产	业务实体表	Table to store the configuration of the accounting accounts of a fixed asset for economic status (fk_asset will be filled and fk_asset_model will be null)	rowid	13	2	3	N	htdocs/install/mysql/tables/llx_asset_accountancy_codes_economic-asset.sql	
llx_asset_accountancy_codes_fiscal	asset	资产	业务实体表	Table to store the configuration of the accounting accounts of a fixed asset for fiscal status	rowid	8	2	3	N	htdocs/install/mysql/tables/llx_asset_accountancy_codes_fiscal-asset.sql	
llx_asset_depreciation	asset	资产	业务实体表	Table to store depreciation of a fixed asset	rowid	11	5	2	N	htdocs/install/mysql/tables/llx_asset_depreciation-asset.sql	
llx_asset_depreciation_options_economic	asset	资产	业务实体表	Table to store economical depreciation of a fixed asset	rowid	13	2	3	N	htdocs/install/mysql/tables/llx_asset_depreciation_options_economic-asset.sql	
llx_asset_depreciation_options_fiscal	asset	资产	业务实体表	Table to store fiscal depreciation of a fixed asset	rowid	12	2	3	N	htdocs/install/mysql/tables/llx_asset_depreciation_options_fiscal-asset.sql	
llx_asset_extrafields	asset	资产	扩展字段值表	Table for extrafields of fixed asset	rowid	4	2	0	N	htdocs/install/mysql/tables/llx_asset_extrafields-asset.sql	
llx_asset_model	asset	资产	业务实体表	Table for fixed asset model	rowid	15	6	0	Y	htdocs/install/mysql/tables/llx_asset_model-asset.sql	
llx_asset_model_extrafields	asset	资产	扩展字段值表	Table for extrafields of fixed asset model	rowid	4	2	0	N	htdocs/install/mysql/tables/llx_asset_model_extrafields-asset.sql	
llx_bank	bank	银行与现金	业务实体表		rowid	25	6	0	N	htdocs/install/mysql/tables/llx_bank.sql	
llx_bank_account	bank	银行与现金	业务实体表		rowid	43	2	1	Y	htdocs/install/mysql/tables/llx_bank_account.sql	
llx_bank_account_extrafields	bank	银行与现金	扩展字段值表		rowid	4	2	0	N	htdocs/install/mysql/tables/llx_bank_account_extrafields.sql	
llx_bank_extrafields	bank	银行与现金	扩展字段值表		rowid	4	2	0	N	htdocs/install/mysql/tables/llx_bank_extrafields.sql	
llx_bank_import	bank	银行与现金	业务实体表	Table to receive manual import of a bank statement	rowid	25	1	0	N	htdocs/install/mysql/tables/llx_bank_import-bank.sql	
llx_bank_record	bank	银行与现金	业务实体表	Table to receive manual import of a bank statement	rowid	8	1	1	N	htdocs/install/mysql/tables/llx_bank_record-bank.sql	
llx_bank_record_link	bank	银行与现金	多对多/关联表	Table to receive manual import of a bank statement	rowid	3	1	2	N	htdocs/install/mysql/tables/llx_bank_record_link-bank.sql	
llx_bank_url	bank	银行与现金	业务实体表		rowid	6	3	0	N	htdocs/install/mysql/tables/llx_bank_url.sql	
llx_blockedlog	core	核心/系统	业务实体表		rowid	27	8	0	Y	htdocs/install/mysql/tables/llx_blockedlog.sql	
llx_bom_bom	bom	物料清单	业务实体表		rowid	23	6	1	Y	htdocs/install/mysql/tables/llx_bom_bom-bom.sql	
llx_bom_bom_extrafields	bom	物料清单	扩展字段值表		rowid	4	2	0	N	htdocs/install/mysql/tables/llx_bom_bom_extrafields-bom.sql	
llx_bom_bomline	bom	物料清单	明细/行表		rowid	14	4	1	N	htdocs/install/mysql/tables/llx_bom_bomline-bom.sql	
llx_bom_bomline_extrafields	bom	物料清单	扩展字段值表		rowid	4	1	0	N	htdocs/install/mysql/tables/llx_bom_bomline_extrafields-bom.sql	
llx_bookcal_availabilities	bookcal	预约日历	业务实体表		rowid	19	4	2	N	htdocs/install/mysql/tables/llx_bookcal_availabilities-bookcal.sql	
llx_bookcal_availabilities_extrafields	bookcal	预约日历	扩展字段值表		rowid	4	2	0	N	htdocs/install/mysql/tables/llx_bookcal_availabilities_extrafields-bookcal.sql	
llx_bookcal_calendar	bookcal	预约日历	业务实体表		rowid	17	6	1	Y	htdocs/install/mysql/tables/llx_bookcal_calendar-bookcal.sql	
llx_bookcal_calendar_extrafields	bookcal	预约日历	扩展字段值表		rowid	4	2	0	N	htdocs/install/mysql/tables/llx_bookcal_calendar_extrafields-bookcal.sql	
llx_bookmark	core	核心/系统	业务实体表		rowid	9	1	0	Y	htdocs/install/mysql/tables/llx_bookmark.sql	
llx_bordereau_cheque	bank	银行与现金	业务实体表		rowid	15	2	0	Y	htdocs/install/mysql/tables/llx_bordereau_cheque.sql	
llx_boxes	core	核心/系统	业务实体表		rowid	8	4	1	Y	htdocs/install/mysql/tables/llx_boxes.sql	
llx_boxes_def	core	核心/系统	业务实体表		rowid	6	2	0	Y	htdocs/install/mysql/tables/llx_boxes_def.sql	
llx_budget	budget	预算	业务实体表		rowid	12	1	0	Y	htdocs/install/mysql/tables/llx_budget-budget.sql	
llx_budget_lines	budget	预算	明细/行表		rowid	9	2	1	N	htdocs/install/mysql/tables/llx_budget_lines-budget.sql	
llx_c_accounting_category	accounting	会计/总账	参考数据/配置表	Table with category for accounting account.	rowid	12	2	0	Y	htdocs/install/mysql/tables/llx_c_accounting_category-accounting.sql	
llx_c_accounting_report	accounting	会计/总账	参考数据/配置表	Table for personalized report for category of accounting account	rowid	6	2	0	Y	htdocs/install/mysql/tables/llx_c_accounting_report-accounting.sql	
llx_c_action_trigger	core	核心/系统	参考数据/配置表	This table is a list of all available possible automatic actions	rowid	8	3	0	N	htdocs/install/mysql/tables/llx_c_action_trigger.sql	
llx_c_actioncomm	core	核心/系统	参考数据/配置表		id	10	2	0	N	htdocs/install/mysql/tables/llx_c_actioncomm.sql	
llx_c_asset_disposal_type	asset	资产	参考数据/配置表	Table to store disposal type for a fixed asset	rowid	5	2	0	Y	htdocs/install/mysql/tables/llx_c_asset_disposal_type-asset.sql	
llx_c_availability	core	核心/系统	参考数据/配置表		rowid	7	2	0	N	htdocs/install/mysql/tables/llx_c_availability.sql	
llx_c_barcode_type	core	核心/系统	参考数据/配置表		rowid	6	2	0	Y	htdocs/install/mysql/tables/llx_c_barcode_type.sql	
llx_c_chargesociales	core	核心/系统	参考数据/配置表		id	8	1	0	N	htdocs/install/mysql/tables/llx_c_chargesociales.sql	
llx_c_civility	core	核心/系统	参考数据/配置表		rowid	5	2	0	N	htdocs/install/mysql/tables/llx_c_civility.sql	
llx_c_country	core	核心/系统	参考数据/配置表		rowid	11	4	0	N	htdocs/install/mysql/tables/llx_c_country.sql	
llx_c_currencies	core	核心/系统	参考数据/配置表		code_iso	6	1	0	N	htdocs/install/mysql/tables/llx_c_currencies.sql	
llx_c_departements	core	核心/系统	参考数据/配置表		rowid	8	2	1	N	htdocs/install/mysql/tables/llx_c_departements.sql	
llx_c_ecotaxe	core	核心/系统	参考数据/配置表		rowid	7	2	0	N	htdocs/install/mysql/tables/llx_c_ecotaxe.sql	
llx_c_effectif	core	核心/系统	参考数据/配置表		id	5	2	0	N	htdocs/install/mysql/tables/llx_c_effectif.sql	
llx_c_email_senderprofile	core	核心/系统	参考数据/配置表	Table with templates of emails	rowid	10	2	0	Y	htdocs/install/mysql/tables/llx_c_email_senderprofile.sql	
llx_c_email_templates	core	核心/系统	参考数据/配置表	Table with templates of emails	rowid	22	3	0	Y	htdocs/install/mysql/tables/llx_c_email_templates.sql	
llx_c_exp_tax_cat	expensereport	费用报告	参考数据/配置表		rowid	4	1	0	Y	htdocs/install/mysql/tables/llx_c_exp_tax_cat-expensereport.sql	
llx_c_exp_tax_range	expensereport	费用报告	参考数据/配置表		rowid	5	1	0	Y	htdocs/install/mysql/tables/llx_c_exp_tax_range-expensereport.sql	
llx_c_field_list	core	核心/系统	参考数据/配置表	Table not used / not required for the moment.	rowid	13	1	0	Y	htdocs/install/mysql/tables/llx_c_field_list.sql	
llx_c_format_cards	core	核心/系统	参考数据/配置表		rowid	18	1	0	N	htdocs/install/mysql/tables/llx_c_format_cards.sql	
llx_c_forme_juridique	core	核心/系统	参考数据/配置表		rowid	8	2	0	N	htdocs/install/mysql/tables/llx_c_forme_juridique.sql	
llx_c_holiday_types	core	核心/系统	参考数据/配置表		rowid	11	2	0	Y	htdocs/install/mysql/tables/llx_c_holiday_types.sql	
llx_c_hrm_department	core	核心/系统	参考数据/配置表		rowid	5	1	0	N	htdocs/install/mysql/tables/llx_c_hrm_department.sql	
llx_c_hrm_function	core	核心/系统	参考数据/配置表		rowid	6	1	0	N	htdocs/install/mysql/tables/llx_c_hrm_function.sql	
llx_c_hrm_public_holiday	core	核心/系统	参考数据/配置表		id	11	3	0	Y	htdocs/install/mysql/tables/llx_c_hrm_public_holiday.sql	
llx_c_incoterms	core	核心/系统	参考数据/配置表		rowid	5	2	0	N	htdocs/install/mysql/tables/llx_c_incoterms.sql	
llx_c_input_method	core	核心/系统	参考数据/配置表		rowid	5	2	0	N	htdocs/install/mysql/tables/llx_c_input_method.sql	
llx_c_input_reason	core	核心/系统	参考数据/配置表		rowid	5	2	0	N	htdocs/install/mysql/tables/llx_c_input_reason.sql	
llx_c_invoice_subtype	core	核心/系统	参考数据/配置表		rowid	6	2	0	Y	htdocs/install/mysql/tables/llx_c_invoice_subtype.sql	
llx_c_lead_status	core	核心/系统	参考数据/配置表		rowid	6	2	0	N	htdocs/install/mysql/tables/llx_c_lead_status.sql	
llx_c_paiement	core	核心/系统	参考数据/配置表		id	9	2	0	Y	htdocs/install/mysql/tables/llx_c_paiement.sql	
llx_c_paper_format	core	核心/系统	参考数据/配置表		rowid	8	1	0	N	htdocs/install/mysql/tables/llx_c_paper_format.sql	
llx_c_partnership_type	partnership	合作伙伴	参考数据/配置表		rowid	6	2	0	Y	htdocs/install/mysql/tables/llx_c_partnership_type-partnership.sql	
llx_c_payment_term	core	核心/系统	参考数据/配置表		rowid	13	2	0	Y	htdocs/install/mysql/tables/llx_c_payment_term.sql	
llx_c_price_expression	dynamicprices	动态价格	参考数据/配置表		rowid	3	1	0	N	htdocs/install/mysql/tables/llx_c_price_expression-dynamicprices.sql	
llx_c_price_global_variable	dynamicprices	动态价格	参考数据/配置表		rowid	4	1	0	N	htdocs/install/mysql/tables/llx_c_price_global_variable-dynamicprices.sql	
llx_c_price_global_variable_updater	dynamicprices	动态价格	参考数据/配置表		rowid	8	1	0	N	htdocs/install/mysql/tables/llx_c_price_global_variable_updater-dynamicprices.sql	
llx_c_product_nature	core	核心/系统	参考数据/配置表		rowid	4	2	0	N	htdocs/install/mysql/tables/llx_c_product_nature.sql	
llx_c_product_thirdparty_relation_type	core	核心/系统	参考数据/配置表		rowid	4	1	0	N	htdocs/install/mysql/tables/llx_c_product_thirdparty_relation_type.sql	
llx_c_productbatch_qcstatus	productbatch	产品批次	参考数据/配置表		rowid	5	2	0	Y	htdocs/install/mysql/tables/llx_c_productbatch_qcstatus-productbatch.sql	
llx_c_propalst	core	核心/系统	参考数据/配置表		id	5	2	0	N	htdocs/install/mysql/tables/llx_c_propalst.sql	
llx_c_prospectcontactlevel	core	核心/系统	参考数据/配置表		code	5	1	0	N	htdocs/install/mysql/tables/llx_c_prospectcontactlevel.sql	
llx_c_prospectlevel	core	核心/系统	参考数据/配置表		code	5	1	0	N	htdocs/install/mysql/tables/llx_c_prospectlevel.sql	
llx_c_recruitment_origin	recruitment	招聘	参考数据/配置表		rowid	4	1	0	N	htdocs/install/mysql/tables/llx_c_recruitment_origin-recruitment.sql	
llx_c_regions	core	核心/系统	参考数据/配置表		rowid	7	4	1	N	htdocs/install/mysql/tables/llx_c_regions.sql	
llx_c_revenuestamp	core	核心/系统	参考数据/配置表		rowid	8	1	0	N	htdocs/install/mysql/tables/llx_c_revenuestamp.sql	
llx_c_shipment_mode	core	核心/系统	参考数据/配置表		rowid	9	2	0	Y	htdocs/install/mysql/tables/llx_c_shipment_mode.sql	
llx_c_shipment_package_type	core	核心/系统	参考数据/配置表		rowid	5	1	0	Y	htdocs/install/mysql/tables/llx_c_shipment_package_type.sql	
llx_c_socialnetworks	core	核心/系统	参考数据/配置表		rowid	7	2	0	Y	htdocs/install/mysql/tables/llx_c_socialnetworks.sql	
llx_c_stcomm	core	核心/系统	参考数据/配置表		id	6	2	0	N	htdocs/install/mysql/tables/llx_c_stcomm.sql	
llx_c_stcommcontact	core	核心/系统	参考数据/配置表		id	5	2	0	N	htdocs/install/mysql/tables/llx_c_stcommcontact.sql	
llx_c_subtotals_texts	core	核心/系统	参考数据/配置表		rowid	6	2	0	Y	htdocs/install/mysql/tables/llx_c_subtotals_texts-subtotals.sql	
llx_c_subtotals_titles	core	核心/系统	参考数据/配置表		rowid	5	2	0	Y	htdocs/install/mysql/tables/llx_c_subtotals_titles-subtotals.sql	
llx_c_ticket_category	ticket	工单	参考数据/配置表	Table with the custom group tree for the group of a ticket.	rowid	12	2	0	Y	htdocs/install/mysql/tables/llx_c_ticket_category-ticket.sql	
llx_c_ticket_resolution	ticket	工单	参考数据/配置表		rowid	8	2	0	Y	htdocs/install/mysql/tables/llx_c_ticket_resolution-ticket.sql	
llx_c_ticket_severity	ticket	工单	参考数据/配置表		rowid	9	2	0	Y	htdocs/install/mysql/tables/llx_c_ticket_severity-ticket.sql	
llx_c_ticket_type	ticket	工单	参考数据/配置表		rowid	8	2	0	Y	htdocs/install/mysql/tables/llx_c_ticket_type-ticket.sql	
llx_c_transport_mode	core	核心/系统	参考数据/配置表	Table to store transport modes (plane, boat, road, ...)	rowid	5	2	0	Y	htdocs/install/mysql/tables/llx_c_transport_mode.sql	
llx_c_tva	core	核心/系统	参考数据/配置表		rowid	18	3	1	Y	htdocs/install/mysql/tables/llx_c_tva.sql	
llx_c_type_contact	core	核心/系统	参考数据/配置表		rowid	8	3	0	N	htdocs/install/mysql/tables/llx_c_type_contact.sql	
llx_c_type_container	website	网站	参考数据/配置表		rowid	8	2	0	Y	htdocs/install/mysql/tables/llx_c_type_container-website.sql	
llx_c_type_fees	core	核心/系统	参考数据/配置表		id	8	2	0	N	htdocs/install/mysql/tables/llx_c_type_fees.sql	
llx_c_type_resource	core	核心/系统	参考数据/配置表		rowid	4	2	0	N	htdocs/install/mysql/tables/llx_c_type_resource.sql	
llx_c_typent	core	核心/系统	参考数据/配置表		id	7	2	0	N	htdocs/install/mysql/tables/llx_c_typent.sql	
llx_c_units	core	核心/系统	参考数据/配置表		rowid	8	1	0	N	htdocs/install/mysql/tables/llx_c_units.sql	
llx_c_ziptown	core	核心/系统	参考数据/配置表		rowid	8	5	2	N	htdocs/install/mysql/tables/llx_c_ziptown.sql	
llx_categorie	categories	分类	多对多/关联表		rowid	17	2	0	Y	htdocs/install/mysql/tables/llx_categorie.sql	
llx_categorie_account	categories	分类	多对多/关联表	Table to link bank tag/categories with bank accounts		3	2	2	N	htdocs/install/mysql/tables/llx_categorie_account.sql	
llx_categorie_actioncomm	categories	分类	多对多/关联表	Table to link actioncomm tag/categories with actioncomms		3	2	2	N	htdocs/install/mysql/tables/llx_categorie_actioncomm.sql	
llx_categorie_contact	categories	分类	多对多/关联表			3	2	2	N	htdocs/install/mysql/tables/llx_categorie_contact.sql	
llx_categorie_fichinter	fichinter	干预/工单	多对多/关联表			3	2	2	N	htdocs/install/mysql/tables/llx_categorie_fichinter-fichinter.sql	
llx_categorie_fournisseur	categories	分类	多对多/关联表			3	2	2	N	htdocs/install/mysql/tables/llx_categorie_fournisseur.sql	
llx_categorie_invoice	facture	客户发票	多对多/关联表			3	2	2	N	htdocs/install/mysql/tables/llx_categorie_invoice-facture.sql	
llx_categorie_knowledgemanagement	knowledgemanagement	知识管理	多对多/关联表			3	2	2	N	htdocs/install/mysql/tables/llx_categorie_knowledgemanagement-knowledgemanagement.sql	
llx_categorie_lang	categories	分类	多对多/关联表	Table to manage the multilanguage of categories (label and description)	rowid	5	2	1	N	htdocs/install/mysql/tables/llx_categorie_lang.sql	
llx_categorie_lang_extrafields	categories	分类	扩展字段值表		rowid	4	2	0	N	htdocs/install/mysql/tables/llx_categorie_lang_extrafields.sql	
llx_categorie_member	categories	分类	多对多/关联表			3	2	2	N	htdocs/install/mysql/tables/llx_categorie_member.sql	
llx_categorie_mo	mrp	生产计划/MRP	多对多/关联表			3	2	2	N	htdocs/install/mysql/tables/llx_categorie_mo-mrp.sql	
llx_categorie_order	commande	客户订单	多对多/关联表			3	2	2	N	htdocs/install/mysql/tables/llx_categorie_order-commande.sql	
llx_categorie_product	categories	分类	多对多/关联表			3	2	2	N	htdocs/install/mysql/tables/llx_categorie_product.sql	
llx_categorie_project	categories	分类	多对多/关联表			3	2	2	N	htdocs/install/mysql/tables/llx_categorie_project.sql	
llx_categorie_project_task	project	项目	多对多/关联表			3	2	2	N	htdocs/install/mysql/tables/llx_categorie_project_task-project.sql	
llx_categorie_propal	propal	商业提案	多对多/关联表			3	2	2	N	htdocs/install/mysql/tables/llx_categorie_propal-propal.sql	
llx_categorie_societe	categories	分类	多对多/关联表			3	2	2	N	htdocs/install/mysql/tables/llx_categorie_societe.sql	
llx_categorie_supplier_invoice	categories	分类	多对多/关联表			3	2	2	N	htdocs/install/mysql/tables/llx_categorie_supplier_invoice.sql	
llx_categorie_supplier_order	categories	分类	多对多/关联表			3	2	2	N	htdocs/install/mysql/tables/llx_categorie_supplier_order.sql	
llx_categorie_supplier_proposal	supplier_proposal	供应商提案	多对多/关联表			3	2	2	N	htdocs/install/mysql/tables/llx_categorie_supplier_proposal-supplier_proposal.sql	
llx_categorie_ticket	ticket	工单	多对多/关联表			3	2	2	N	htdocs/install/mysql/tables/llx_categorie_ticket-ticket.sql	
llx_categorie_user	categories	分类	多对多/关联表			3	2	2	N	htdocs/install/mysql/tables/llx_categorie_user.sql	
llx_categorie_warehouse	stock	库存	多对多/关联表			3	2	2	N	htdocs/install/mysql/tables/llx_categorie_warehouse-stock.sql	
llx_categorie_website_page	website	网站	多对多/关联表			3	2	2	N	htdocs/install/mysql/tables/llx_categorie_website_page-website.sql	
llx_categories_extrafields	categories	分类	扩展字段值表		rowid	4	2	0	N	htdocs/install/mysql/tables/llx_categories_extrafields.sql	
llx_category_bankline	core	核心/系统	多对多/关联表	Table to link bank tag/categories with bank lines		3	1	0	N	htdocs/install/mysql/tables/llx_category_bankline.sql	
